,t,hat_beta_t,argmax_Wit,top_agent_wealth_ratio,top_10p_wealth_ratio,state_t,k_ast_t,Gamma_t,gamma_period_t,gamma_star_t,r_bar_t
1799,1799.0,0.7776015846100234,0.7911,0.0003791171086817994,0.36574206490038486,0.0,-0.08022975727255877,106.0,16.9811320754717,87.65795120864232,0.7908537322564547
1800,1800.0,0.7781884542626943,0.7918,0.00037940710004857994,0.36600784791097163,0.0,-0.0796296296296295,106.0,16.99056603773585,93.00973120553601,0.8028880086448189
1801,1801.0,0.7787741905884997,0.7924,0.0003796982145875864,0.3662746858520566,0.0,-0.07903016842494903,106.0,17.0,85.43242452151932,0.7854054425352823
1802,1802.0,0.7793587926092747,0.793,0.00037999042938191346,0.3665426162204322,0.0,-0.07843137254901955,106.0,17.00943396226415,84.98444110748095,0.7842742377966936
1803,1803.0,0.7799422593513201,0.7937,0.00038028377992656726,0.3668115943672804,0.0,-0.07783324089480503,106.0,17.0188679245283,97.36895744036443,0.8117127489573671
1804,1804.0,0.780524589845604,0.7943,0.00038057832754938943,0.3670816328233397,0.0,-0.0772357723577235,106.0,17.028301886792452,90.2978770706266,0.7969682795643812
1805,1805.0,0.7811057831279473,0.7949,0.0003808740132817086,0.3673528057296452,0.0,-0.07663896583564167,106.0,17.037735849056602,88.3068125535892,0.7923904984996746
1806,1806.0,0.7816858382392139,0.7955,0.0003811708504846154,0.36762508048083303,0.0,-0.07604282022886655,106.0,17.047169811320753,87.34282155881552,0.7900991403055613
1807,1807.0,0.7822647542255006,0.7962,0.0003814688965447282,0.3678984515604773,0.0,-0.07544733444014007,106.0,17.056603773584907,95.48161973660282,0.8079909684826465
1808,1808.0,0.7828425301383302,0.7968,0.0003817681608742673,0.36817293166028503,0.0,-0.07485250737463112,106.0,17.066037735849058,96.4449030562897,0.8099087380218201
1809,1809.0,0.7834191650348397,0.7974,0.00038206861499365464,0.3684485931608023,0.0,-0.07425833793992975,106.0,17.07547169811321,88.35030393999166,0.7924926965074676
1810,1810.0,0.783994657977959,0.798,0.00038237027243101187,0.36872539961953565,0.0,-0.07366482504604055,106.0,17.08490566037736,86.08148686508297,0.7870235052739332
1811,1811.0,0.784569008036616,0.7987,0.00038267317525181055,0.36900335157920255,0.0,-0.07307196760537438,106.0,17.09433962264151,90.42885738353205,0.7972623577938517
1812,1812.0,0.7851422142859056,0.7993,0.0003829773552503544,0.369282461895597,0.0,-0.07247976453274463,106.0,17.10377358490566,88.77334779738835,0.7934815596323305
1813,1813.0,0.7857142758072898,0.7999,0.00038328277735942285,0.3695627675305297,0.0,-0.07188821474535745,106.0,17.11320754716981,98.78776934237582,0.8144169723096572
1814,1814.0,0.786285191688772,0.8005,0.0003835894552771567,0.3698442954166137,0.0,-0.07129731716280774,106.0,17.12264150943396,92.62756448511067,0.8020747556600141
1815,1815.0,0.7868549610250858,0.8011,0.0003838974027466182,0.37012701861029634,0.0,-0.07070707070707072,106.0,17.132075471698112,95.10016340453305,0.8072208009217842
1816,1816.0,0.7874235829178837,0.8018,0.0003842066750140443,0.3704109501345491,0.0,-0.07011747430249637,106.0,17.141509433962263,92.47577376549462,0.8017498790567132
1817,1817.0,0.7879910564759097,0.8024,0.00038451726716487764,0.370696103056239,0.0,-0.06952852687580258,106.0,17.150943396226417,90.36433463004249,0.7971175972424165
1818,1818.0,0.788557380815188,0.803,0.00038482916826937624,0.37098249885708473,0.0,-0.06894022735606886,106.0,17.160377358490567,93.92760288897072,0.804814210419011
1819,1819.0,0.7891225550592045,0.8036,0.00038514239224438307,0.37127018608866924,0.0,-0.06835257467472977,106.0,17.169811320754718,93.04476340336365,0.8029622230984085
1820,1820.0,0.7896865783390778,0.8042,0.00038545695305264906,0.37155913227342724,0.0,-0.06776556776556775,106.0,17.17924528301887,100.85237943299023,0.8182161547758561
1821,1821.0,0.7902494497937511,0.8048,0.00038577286470307845,0.37184935064926045,0.0,-0.06717920556470802,106.0,17.18867924528302,89.7996869755462,0.7958419015611293
1822,1822.0,0.7908111685701601,0.8055,0.0003860901899855574,0.3721408544989808,0.0,-0.06659348701061107,106.0,17.19811320754717,89.75174721530065,0.7957328530958346
1823,1823.0,0.7913717338234147,0.8061,0.0003864088963400547,0.372433657150522,0.0,-0.0660084110440664,106.0,17.20754716981132,92.4461013477839,0.8016862467313467
1824,1824.0,0.7919311447169692,0.8067,0.00038672899369199764,0.3727277719771658,0.0,-0.065423976608187,106.0,17.21698113207547,96.07160527622885,0.8091701155547405
1825,1825.0,0.7924894004228081,0.8073,0.0003870504962285153,0.3730232341037121,0.0,-0.06484018264840175,106.0,17.22641509433962,94.65769617899616,0.8063196752785394
1826,1826.0,0.793046500121603,0.8079,0.00038737341818385695,0.37332005165830073,0.0,-0.06425702811244971,106.0,17.235849056603772,93.32992217898284,0.8035642492214372
1827,1827.0,0.793602443002901,0.8085,0.0003876977738396103,0.37361821982195537,0.0,-0.06367451195037388,106.0,17.245283018867923,94.4990238903574,0.8059944687407078
1828,1828.0,0.7941572282652879,0.8091,0.00038802357752490207,0.3739177521444164,1.0,-0.06309263311451496,106.0,17.254716981132077,87.98464482370038,0.7916303081058197
1829,1829.0,0.7852898107958108,0.7992,0.00038458566674734744,0.3707091500578922,0.0,-0.07253508292327315,107.0,17.102803738317757,98.45727269444967,0.8137940161086055
1830,1830.0,0.7858574033166896,0.7998,0.0003848879188648683,0.3709862862326701,0.0,-0.0719489981785062,107.0,17.11214953271028,96.374160929414,0.8097692041463171
1831,1831.0,0.7864238734815933,0.8005,0.00038519141690963426,0.37126458408728624,0.0,-0.07136355361369007,107.0,17.121495327102803,88.91408010954459,0.7938084349436426
1832,1832.0,0.7869892203763577,0.8011,0.0003854962022148248,0.3715440559996397,1.0,-0.0707787481804949,107.0,17.130841121495326,80.12041887104722,0.7711777647737889
1833,1833.0,0.778012516427607,0.7912,0.00038240452439410136,0.3686664663434084,0.0,-0.0801963993453354,108.0,16.98148148148148,98.77746185281359,0.8143976066053258
1834,1834.0,0.7785899195597513,0.7918,0.0003826889639879606,0.3689266069660425,0.0,-0.07960741548527794,108.0,16.99074074074074,90.71877873173027,0.7979102718352515
1835,1835.0,0.7791662354507733,0.7924,0.00038297446044623145,0.36918778283343634,0.0,-0.07901907356948223,108.0,17.0,90.82958344835971,0.7981568048943374
1836,1836.0,0.7797414631179389,0.793,0.00038326102573407316,0.36944996197514807,0.0,-0.07843137254901955,108.0,17.00925925925926,92.35089968471952,0.8014818112663521
1837,1837.0,0.7803156015821416,0.7936,0.00038354867185413845,0.3697131557275669,0.0,-0.07784431137724535,108.0,17.01851851851852,87.94093212980583,0.7915267340324266
1838,1838.0,0.7808886498680804,0.7943,0.0003838374489237216,0.369977375463934,0.0,-0.07725788900979325,108.0,17.02777777777778,92.02502292519051,0.8007788235137201
1839,1839.0,0.7814606070044405,0.7949,0.00038412734588676693,0.3702426325945457,0.0,-0.07667210440456773,108.0,17.037037037037038,94.38611947716373,0.8057623998646433
1840,1840.0,0.7820314720240754,0.7955,0.0003844183577990907,0.3705089385669283,0.0,-0.07608695652173902,108.0,17.046296296296298,87.63100737366574,0.7907894262226325
1841,1841.0,0.7826012439641863,0.7961,0.00038471049680734827,0.37077634699886763,0.0,-0.0755024443237371,108.0,17.055555555555557,86.97180364124469,0.7892037124013477
1842,1842.0,0.783169921866503,0.7967,0.00038500377509653576,0.37104482537722855,0.0,-0.07491856677524411,108.0,17.064814814814813,89.69495594704995,0.7956035192864565
1843,1843.0,0.7837375047774624,0.7973,0.0003852982048902007,0.3713143852359305,0.0,-0.07433532284319044,108.0,17.074074074074073,95.14131318737995,0.8073041802857398
1844,1844.0,0.7843039917483864,0.7979,0.0003855937984506019,0.37158503816679833,1.0,-0.07375271149674623,108.0,17.083333333333332,84.24140252373333,0.7823714612518674
1845,1845.0,0.7753312029101641,0.7881,0.0003826457500244413,0.368845708774301,0.0,-0.08310749774164394,109.0,16.93577981651376,90.98760042563967,0.7985073433350252
1846,1846.0,0.7759092985641913,0.7887,0.0003829223998561318,0.3690983746671164,0.0,-0.08252076561935717,109.0,16.94495412844037,87.09797079034466,0.7895090647121518
1847,1847.0,0.7764863340584122,0.7893,0.0003832000348986626,0.3693519637489755,0.0,-0.08193466883234057,109.0,16.954128440366972,93.31359244709641,0.8035298732740644
1848,1848.0,0.7770623083960299,0.79,0.0003834787115152041,0.36960648659152295,0.0,-0.08134920634920628,109.0,16.96330275229358,90.72649629397283,0.797927462403822
1849,1849.0,0.7776372205825975,0.7906,0.0003837584002089431,0.3698619538001065,0.0,-0.08076437714079665,109.0,16.972477064220183,88.71382358555364,0.793342992192721
1850,1850.0,0.7782110696261881,0.7912,0.00038403910567474443,0.37011838480270803,0.0,-0.08018018018018025,109.0,16.98165137614679,92.17225124928507,0.801097042929441
1851,1851.0,0.7787838545375744,0.7918,0.00038432083920054077,0.3703758118236588,0.0,-0.07959661444264343,109.0,16.990825688073393,91.2939026468283,0.7991833758684183
1852,1852.0,0.7793555743304112,0.7924,0.0003846036121089515,0.37063421330843943,0.0,-0.07901367890568745,109.0,17.0,98.57501107891119,0.8140164212747879
1853,1853.0,0.7799262280214065,0.793,0.0003848874357574673,0.3708935999926583,0.0,-0.07843137254901955,109.0,17.009174311926607,91.61346388111447,0.7998838537845895
1854,1854.0,0.7804958146305018,0.7936,0.00038517232153861526,0.3711539826464786,0.0,-0.07784969435454858,109.0,17.01834862385321,92.61697072672983,0.8020521164806115
1855,1855.0,0.781064333181042,0.7942,0.0003854582808801395,0.3714153720747918,0.0,-0.07726864330637917,109.0,17.027522935779817,92.84950965068583,0.8025478712563355
1856,1856.0,0.7816317826999599,0.7949,0.0003857453584648475,0.3716777791173941,0.0,-0.07668821839080464,109.0,17.03669724770642,93.12544480125895,0.8031329313652257
1857,1857.0,0.7821981622179471,0.7955,0.0003860335311813144,0.371941214649157,0.0,-0.07610841859630213,109.0,17.045871559633028,102.29584650621106,0.8207812539855155
1858,1858.0,0.7827634707696295,0.7961,0.00038632280977057685,0.37220568958020706,0.0,-0.07552924291352703,109.0,17.05504587155963,88.07476586039965,0.7918435189212759
1859,1859.0,0.7833277073937447,0.7967,0.0003866132057947739,0.3724712148560902,0.0,-0.07495069033530566,109.0,17.06422018348624,89.74450107784715,0.7957163601875681
1860,1860.0,0.7838908711333115,0.7973,0.00038690473085204564,0.3727378014579546,0.0,-0.07437275985663083,109.0,17.073394495412845,89.74555199951435,0.7957187523518431
1861,1861.0,0.7844529610358121,0.7979,0.0003871973965766656,0.37300547819163665,0.0,-0.07379545047465519,109.0,17.08256880733945,94.02992624996442,0.8050266115853699
1862,1862.0,0.7850139761533562,0.7985,0.0003874912146392179,0.373274237634469,1.0,-0.07321876118868587,109.0,17.091743119266056,83.53730023164661,0.7805371578624697
1863,1863.0,0.7761218120092328,0.7888,0.0003845613460961118,0.37055408922789407,0.0,-0.08248344963320808,110.0,16.945454545454545,84.47991319850613,0.7829858881334939
1864,1864.0,0.7766942172064155,0.7894,0.00038483645593541177,0.3708050645359482,0.0,-0.08190271816881256,110.0,16.954545454545453,92.65030829967964,0.8021233423850709
1865,1865.0,0.7772655827776269,0.79,0.0003851125434084684,0.3710569678843608,0.0,-0.0813226094727435,110.0,16.963636363636365,83.7478210893673,0.7810888319856127
1866,1866.0,0.7778359077303443,0.7906,0.00038538961914162814,0.37130981365254534,0.0,-0.08074312254376559,110.0,16.972727272727273,87.84550922975733,0.791300278248908
1867,1867.0,0.7784051910742208,0.7912,0.0003856676937932066,0.371563594753297,0.0,-0.08016425638278868,110.0,16.98181818181818,87.7317181445541,0.7910295874620191
1868,1868.0,0.7789734318212469,0.7918,0.0003859467780536831,0.3718183213003809,0.0,-0.07958600999286225,110.0,16.990909090909092,92.696344128325,0.8022216139618902
1869,1869.0,0.7795406289859296,0.7924,0.00038622688264583726,0.37207400343970315,0.0,-0.07900838237916874,110.0,17.0,87.18901953781929,0.7897288737674011
1870,1870.0,0.7801067815854595,0.793,0.000386508018324909,0.37233065134948024,0.0,-0.07843137254901955,110.0,17.009090909090908,100.729872623195,0.8179950708176342
1871,1871.0,0.7806718886398857,0.7936,0.00038679019587874793,0.37258827524040156,0.0,-0.0778549795118475,110.0,17.01818181818182,90.40770524243459,0.7972149245003928
1872,1872.0,0.7812359491722844,0.7942,0.00038707342612798325,0.37284688535579175,0.0,-0.07727920227920215,110.0,17.027272727272727,98.5386925143953,0.8139478730078029
1873,1873.0,0.7817989622089302,0.7948,0.00038735771992615587,0.3731064919717707,0.0,-0.0767040398647445,110.0,17.036363636363635,93.96213995361339,0.8048859536151048
1874,1874.0,0.7823609267794707,0.7954,0.0003876430881598912,0.3733671053974236,0.0,-0.07612949128424029,110.0,17.045454545454547,92.78645553781409,0.8024136903703387
1875,1875.0,0.7829218419170941,0.796,0.0003879295417490144,0.3736287359749419,0.0,-0.07555555555555538,110.0,17.054545454545455,95.2469229905151,0.8075178414408305
1876,1876.0,0.7834817066586981,0.7967,0.0003882170975575206,0.37389139407980515,0.0,-0.07498223169864948,110.0,17.063636363636363,92.08379469696521,0.8009059748931313
1877,1877.0,0.7840405200450634,0.7973,0.00038850576059765054,0.374155090120924,0.0,-0.07440951873557089,110.0,17.072727272727274,97.97637798817006,0.8128800665039184
1878,1878.0,0.7845982811210204,0.7979,0.0003887955396870036,0.374419834540796,0.0,-0.07383741569045066,110.0,17.081818181818182,89.9742190318623,0.7962379275907802
1879,1879.0,0.7851549889356213,0.7985,0.0003890864458713164,0.3746856378156713,0.0,-0.07326592158949796,110.0,17.09090909090909,91.18168362106248,0.7989362270439758
1880,1880.0,0.7857106425423055,0.7991,0.0003893784902302298,0.3749525104556992,0.0,-0.07269503546099276,110.0,17.1,96.74066157800605,0.8104898908661029
1881,1881.0,0.7862652409990725,0.7997,0.0003896716838774156,0.3752204630050841,0.0,-0.07212475633528248,110.0,17.10909090909091,91.98885153223135,0.8007004867659464
1882,1882.0,0.7868187833686441,0.8003,0.00038996603796071335,0.3754895060422396,0.0,-0.07155508324477489,110.0,17.118181818181817,93.33215925731443,0.8035689575895401
1883,1883.0,0.787371268718638,0.8008,0.00039026156471685757,0.37575965017994145,0.0,-0.07098601522393344,110.0,17.12727272727273,89.74847088065864,0.7957253961717995
1884,1884.0,0.7879226961217277,0.8014,0.00039055828345156853,0.37603090606547396,0.0,-0.07041755130927108,110.0,17.136363636363637,89.02653670788973,0.7940688921384427
1885,1885.0,0.7884730646558149,0.802,0.0003908561985993752,0.3763032843807787,0.0,-0.06984969053934575,110.0,17.145454545454545,96.04263311849643,0.8091125499369238
1886,1886.0,0.789022373404196,0.8026,0.0003911553214551016,0.37657679584261466,0.0,-0.06928243195475425,110.0,17.154545454545456,100.39242199533909,0.8173832947850935
1887,1887.0,0.7895706214557204,0.8032,0.0003914556633484954,0.37685145120269153,1.0,-0.0687157745981275,110.0,17.163636363636364,85.28950184030812,0.785045838728666
1888,1888.0,0.7808439429020012,0.7936,0.00038840236464289117,0.3740161071830707,0.0,-0.0778601694915253,111.0,17.01801801801802,106.26350182885487,0.8274729044516103
1889,1889.0,0.781403615321768,0.7942,0.000388682915130983,0.3742719877477493,0.0,-0.07728957120169389,111.0,17.027027027027028,89.3469668781001,0.7948074347241548
1890,1890.0,0.7819622612185944,0.7948,0.000388964506160945,0.37452884238295997,0.0,-0.07671957671957674,111.0,17.036036036036037,96.5129334877424,0.8100427303283476
1891,1891.0,0.7825198796221225,0.7954,0.0003892471480128195,0.37478668083875116,0.0,-0.07615018508725524,111.0,17.045045045045047,86.7574054140668,0.7886827845319498
1892,1892.0,0.7830764695651589,0.796,0.00038953085099740093,0.37504551289618526,0.0,-0.07558139534883712,111.0,17.054054054054053,96.93988551937613,0.8108793585312322
1893,1893.0,0.7836320300838412,0.7966,0.00038981562545639453,0.3753053483674958,0.0,-0.07501320655044896,111.0,17.063063063063062,86.23288901895766,0.7873974356894979
1894,1894.0,0.784186560217806,0.7972,0.0003901014817625452,0.37556619709622546,0.0,-0.07444561774023217,111.0,17.07207207207207,102.7092638641229,0.8215026313732806
1895,1895.0,0.7847400590103459,0.7978,0.00039038843031974916,0.3758280689573721,0.0,-0.07387862796833766,111.0,17.08108108108108,95.27745084566108,0.8075795146636395
1896,1896.0,0.7852925255085906,0.7984,0.00039067648156320355,0.3760909738575267,0.0,-0.07331223628691985,111.0,17.09009009009009,90.6116523480102,0.797671349564172
1897,1897.0,0.7858439587636463,0.799,0.0003909656459595228,0.3763549217350226,0.0,-0.07274644175013156,111.0,17.0990990990991,88.92604400773631,0.7938361754657793
