,t,hat_beta_t,argmax_Wit,top_agent_wealth_ratio,top_10p_wealth_ratio,state_t,k_ast_t,Gamma_t,gamma_period_t,gamma_star_t,r_bar_t
104,104.0,0.6708677544371084,0.8237,0.000215931548111196,0.21305022601352785,0.0,0.8237179487179487,1.0,105.0,89.74795094736349,0.7957242127557241
105,105.0,0.6733243125380924,0.8254,0.00021777484217326454,0.2148138666922537,0.0,0.8253968253968254,1.0,106.0,87.2498651531793,0.7898755109690243
106,106.0,0.6757561659154543,0.827,0.00021962401175048003,0.21658188625769031,0.0,0.8270440251572327,1.0,107.0,101.35220479923923,0.8191126343067877
107,107.0,0.6781634018305269,0.8287,0.00022147888204959528,0.21835408194627698,0.0,0.8286604361370717,1.0,108.0,93.27637134425905,0.803451473624872
108,108.0,0.6805461160759347,0.8302,0.00022333925477468542,0.2201302350349106,0.0,0.8302469135802469,1.0,109.0,97.91065789467878,0.8127544669033451
109,109.0,0.6829044126202652,0.8318,0.00022520496412341707,0.22191017083131814,0.0,0.8318042813455657,1.0,110.0,102.34858461955186,0.820873601706544
110,110.0,0.6852384032559674,0.8333,0.00022707581012438932,0.22369368470136486,0.0,0.8333333333333334,1.0,111.0,91.65203931029691,0.7999680806745167
111,111.0,0.6875482072509431,0.8348,0.00022895163900908235,0.2254806114601198,0.0,0.8348348348348349,1.0,112.0,94.18864672653945,0.8053551678413958
112,112.0,0.689833951004329,0.8363,0.000230832286230929,0.22727074699699154,0.0,0.8363095238095238,1.0,113.0,92.83175671648743,0.8025101109599359
113,113.0,0.6920957677068699,0.8378,0.00023271757318707686,0.22906393696184477,0.0,0.8377581120943953,1.0,114.0,98.74622006302934,0.8143388848542128
114,114.0,0.6943337970062707,0.8392,0.00023460736923880114,0.230860015025206,0.0,0.8391812865497076,1.0,115.0,96.5814485561654,0.8101774863868202
115,115.0,0.696548184677916,0.8406,0.00023650150225375117,0.23265880211170448,0.0,0.8405797101449275,1.0,116.0,88.15525620610977,0.7920335766426744
116,116.0,0.6987390823012672,0.842,0.00023839982339656472,0.23446014328105005,0.0,0.8419540229885057,1.0,117.0,89.36584940353643,0.7948507908144178
117,117.0,0.7009066469422326,0.8433,0.00024030221575877734,0.23626388081115102,0.0,0.8433048433048433,1.0,118.0,104.8294087666468,0.8251126897591892
118,118.0,0.7030510408418134,0.8446,0.00024220850676999651,0.23806986739356487,0.0,0.844632768361582,1.0,119.0,87.42163026660769,0.7902883613881073
119,119.0,0.7051724311112318,0.8459,0.00024411858018033854,0.23987794447088606,0.0,0.84593837535014,1.0,120.0,86.7964355906259,0.7887778085749716
120,120.0,0.707270989433771,0.8472,0.0002460323094002553,0.24168799358978812,0.0,0.8472222222222222,1.0,121.0,97.79968379570775,0.8125419978695478
121,121.0,0.7093468917735282,0.8485,0.0002479495568349989,0.2434998503860837,0.0,0.8484848484848485,1.0,122.0,95.94123068505822,0.8089107967197616
122,122.0,0.7114003180912113,0.8497,0.00024987019911598603,0.2453133914407651,0.0,0.8497267759562841,1.0,123.0,92.39464522749877,0.8015758024916696
123,123.0,0.7134314520671597,0.8509,0.00025179411455260276,0.2471284837634634,0.0,0.8509485094850948,1.0,124.0,91.80578773548673,0.8003030769023428
124,124.0,0.7154404808316569,0.8522,0.0002537212029591734,0.24894498419864355,0.0,0.8521505376344086,1.0,125.0,92.7545253021806,0.8023456723690189
125,125.0,0.7174275947026723,0.8533,0.0002556513524412033,0.25076281073784656,0.0,0.8533333333333333,1.0,126.0,87.54223571180205,0.7905772775361994
126,126.0,0.7193929869310648,0.8545,0.0002575844450393519,0.2525818027662622,0.0,0.8544973544973545,1.0,127.0,92.15928248961612,0.8010690530777623
127,127.0,0.7213368534533298,0.8556,0.0002595203586422081,0.254401855880546,0.0,0.8556430446194225,1.0,128.0,96.07961504277937,0.8091860242657047
128,128.0,0.7232593926518972,0.8568,0.00026145902754416,0.2562228573697584,0.0,0.8567708333333334,1.0,129.0,91.75711728900718,0.8001971522755137
129,129.0,0.725160805123009,0.8579,0.000263400332550841,0.2580446857074936,0.0,0.8578811369509044,1.0,130.0,105.65593522738891,0.8264808002136653
130,130.0,0.7270412934521666,0.859,0.0002653441762282887,0.25986726562861745,0.0,0.858974358974359,1.0,131.0,90.83422682325353,0.7981671229611875
131,131.0,0.7289010619971333,0.8601,0.00026729046150609647,0.26169045139417424,0.0,0.8600508905852418,1.0,132.0,95.57335514273555,0.8081752669878218
132,132.0,0.7307403166784451,0.8611,0.00026923913714868954,0.26351417058776316,0.0,0.8611111111111112,1.0,133.0,101.89782744821808,0.8200812147574994
133,133.0,0.7325592647774064,0.8622,0.0002711900598080615,0.26533831995547474,0.0,0.8621553884711779,1.0,134.0,97.70745753430622,0.812365055892522
134,134.0,0.7343581147414734,0.8632,0.0002731432010739488,0.2671628046043735,0.0,0.8631840796019901,1.0,135.0,90.81367329994514,0.7981214428714843
135,135.0,0.7361370759969983,0.8642,0.0002750984437037814,0.2689875386420174,0.0,0.8641975308641976,1.0,136.0,95.58514692925291,0.8081989312952284
136,136.0,0.7378963587692018,0.8652,0.00027705571840133013,0.2708124035131182,0.0,0.8651960784313726,1.0,137.0,92.84346057454052,0.8025350065596253
137,137.0,0.7396361739093227,0.8662,0.00027901494868718665,0.2726373518447099,0.0,0.8661800486618005,1.0,138.0,88.59841157871793,0.7930737921069326
138,138.0,0.7413567327288024,0.8671,0.00028097605087281193,0.2744622639720565,0.0,0.8671497584541064,1.0,139.0,94.41993837229408,0.8058319709864062
139,139.0,0.7430582468404369,0.8681,0.00028293900455028323,0.2762870743456015,0.0,0.86810551558753,1.0,140.0,88.11745857227936,0.7919443702714689
140,140.0,0.7447409280063325,0.869,0.00028490366702485915,0.27811171139677626,0.0,0.8690476190476191,1.0,141.0,87.23648657236801,0.7898432862936919
141,141.0,0.7464049879925749,0.87,0.0002868700437858289,0.2799360971881728,0.0,0.8699763593380615,1.0,142.0,84.97618621000535,0.7842532814072714
142,142.0,0.7480506384304547,0.8709,0.00028883802846823,0.2817601470563228,0.0,0.8708920187793427,1.0,143.0,87.17391634609547,0.789692443545305
143,143.0,0.7496780906841392,0.8718,0.0002908075658477006,0.2835837692467778,0.0,0.8717948717948718,1.0,144.0,89.389536543143,0.7949051528588592
144,144.0,0.7512875557246158,0.8727,0.0002927785985652478,0.2854069547816146,0.0,0.8726851851851852,1.0,145.0,83.63017954655486,0.780780892343683
145,145.0,0.7528792440097943,0.8736,0.0002947510627864178,0.28722956834876684,0.0,0.8735632183908046,1.0,146.0,85.36900377904391,0.7852460199631176
146,146.0,0.7544533653705979,0.8744,0.00029672492723328966,0.289051574094487,0.0,0.8744292237442922,1.0,147.0,88.08159585038752,0.7918596597128675
147,147.0,0.7560101289028963,0.8753,0.0002987001246585712,0.29087292311464824,0.0,0.8752834467120182,1.0,148.0,90.97636458973393,0.7984824584274263
148,148.0,0.7575497428651456,0.8761,0.00030067659326788213,0.2926935288143807,0.0,0.8761261261261262,1.0,149.0,100.59743628162948,0.817755461659998
149,149.0,0.7590724145815403,0.877,0.00030265428573203733,0.2945133297901739,0.0,0.8769574944071589,1.0,150.0,95.95316363418685,0.8089345609986599
150,150.0,0.7605783503505644,0.8778,0.0003046331862730288,0.2963323041892508,0.0,0.8777777777777778,1.0,151.0,102.74726448124017,0.821568647828277
151,151.0,0.7620677553587576,0.8786,0.0003066132145503685,0.29815035945356233,0.0,0.8785871964679912,1.0,152.0,90.00620890648462,0.7963103484073921
152,152.0,0.7635408335995442,0.8794,0.0003085943322323895,0.29996742000922516,0.0,0.8793859649122807,1.0,153.0,87.12076260647612,0.7895641316164222
153,153.0,0.7649977877969751,0.8802,0.0003105764956022881,0.30178350803009363,0.0,0.8801742919389979,1.0,154.0,91.08067723313373,0.7987132519183339
