,t,hat_beta_t,argmax_Wit,top_agent_wealth_ratio,top_10p_wealth_ratio,state_t,k_ast_t,Gamma_t,gamma_period_t,gamma_star_t,r_bar_t
76,76.0,0.7752781955643164,0.9875,0.0008212668459184354,0.44218516625494986,0.0,1.0,0.0,0.0,91.66666666666669,0.8
77,77.0,0.777540786209401,0.9966,0.0008309942117861924,0.4455822005480786,0.0,1.0,0.0,0.0,91.66666666666669,0.8
78,78.0,0.779770044592785,0.9966,0.0008410454626257109,0.4489670290948421,0.0,1.0,0.0,0.0,91.66666666666669,0.8
79,79.0,0.7819663878103841,0.9966,0.0008511135247546331,0.45233221520464756,0.0,1.0,0.0,0.0,91.66666666666669,0.8
80,80.0,0.7841302360940511,0.9966,0.0008611976841675939,0.4556795736540401,0.0,1.0,0.0,0.0,91.66666666666669,0.8
81,81.0,0.7862620122638364,0.9966,0.0008712972473835085,0.4590121661569367,0.0,1.0,0.0,0.0,91.66666666666669,0.8
82,82.0,0.7883621412041372,0.9966,0.0008814115411212646,0.46232587026247307,0.0,1.0,0.0,0.0,91.66666666666669,0.8
83,83.0,0.790431049363498,0.9966,0.0008915399119626664,0.46562110915557303,0.0,1.0,0.0,0.0,91.66666666666669,0.8
84,84.0,0.7924691642776895,0.9966,0.0009016817260040907,0.46890239110337834,0.0,1.0,0.0,0.0,91.66666666666669,0.8
85,85.0,0.7944769141157364,0.9966,0.000911836368498349,0.47216628441007175,0.0,1.0,0.0,0.0,91.66666666666669,0.8
86,86.0,0.7964547272484441,0.9966,0.0009220032434880238,0.4754115072030359,0.0,1.0,0.0,0.0,91.66666666666669,0.8
87,87.0,0.7984030318390186,0.9966,0.0009321817734316204,0.4786375034463471,0.0,1.0,0.0,0.0,91.66666666666669,0.8
88,88.0,0.8003222554552721,0.9966,0.0009423713988237051,0.48184580709271374,1.0,1.0,0.0,0.0,91.66666666666669,0.8
89,89.0,0.6286309551461258,0.7922,0.00037909408060161844,0.29401900158559563,0.0,0.7940074906367042,1.0,90.0,91.66666666666669,0.8
